gap_index,delta_t
0,2869.0
1,899.0
2,1216.0
3,3631.0
4,1845.0
5,3250.0
6,898.0
7,2029.0
8,2800.0
9,1050.0
10,1907.0
11,3314.0
12,1372.0
13,1692.0
14,4744.0
15,200.0
16,1698.0
17,3136.0
18,558.0
19,663.0
20,1817.0
21,239.0
22,1026.0
23,3330.0
24,472.0
25,1649.0
26,1251.0
27,2130.0
28,1276.0
29,2245.0
30,537.0
31,708.0
32,2145.0
33,1257.0
34,2248.0
35,1277.0
36,2141.0
37,1232.0
38,2132.0
39,3373.0
40,1380.0
41,1970.0
42,639.0
43,1069.0
44,1504.0
45,257.0
46,1077.0
47,2140.0
48,1418.0
49,2171.0
50,1435.0
51,1846.0
52,1461.0
53,2193.0
54,1393.0
55,2025.0
56,4789.0
57,369.0
58,1742.0
59,1574.0
60,2100.0
61,1415.0
62,2256.0
63,3652.0
64,1342.0
65,415.0
66,1997.0
67,1381.0
68,2130.0
69,1386.0
70,2000.0
71,418.0
72,356.0
73,923.0
74,2306.0
75,1401.0
76,2257.0
77,1410.0
78,2100.0
79,1576.0
80,253.0
81,1496.0
82,382.0
83,491.0
84,3196.0
85,1017.0
86,2371.0
87,156.0
88,1042.0
89,328.0
90,282.0
91,1805.0
92,279.0
93,1065.0
94,400.0
95,2005.0
96,1453.0
97,2366.0
98,1396.0
99,154.0
100,2200.0
101,1240.0
102,3643.0
103,379.0
104,1742.0
105,1519.0
106,2183.0
107,702.0
108,684.0
109,2257.0
110,1305.0
111,2290.0
112,859.0
113,540.0
114,415.0
115,2007.0
116,1259.0
117,2344.0
118,1268.0
119,2016.0
120,418.0
121,528.0
122,873.0
123,2292.0
124,1293.0
125,2258.0
126,689.0
127,689.0
128,2185.0
129,1522.0
130,253.0
131,1880.0
132,3631.0
133,1254.0
134,2188.0
135,156.0
136,3892.0
137,1357.0
138,2382.0
139,1467.0
140,2502.0
141,914.0
142,651.0
143,1725.0
144,630.0
145,824.0
146,484.0
147,2524.0
148,836.0
149,568.0
