s,popcount,mean P[s],ratio,corr v2,geometry,sequency,phase,k-stable,boundary,length-ctrl,v2-ctrl,shuffle
93,5,0.004653,1.191,-0.152,mixed,211,yes,no,2+ only (degenerate),yes,no,no
103,5,0.004627,1.184,-0.212,mixed,187,yes,no,2+ only (degenerate),no,no,no
127,7,0.004307,1.103,-0.223,contiguous,171,no,"6:63,7:127",2+ only (degenerate),no,no,no
150,4,0.004220,1.080,0.238,mixed,78,yes,no,2+ only (degenerate),no,no,no
155,5,0.004544,1.163,-0.134,edge-loaded,145,yes,no,2+ only (degenerate),no,no,no
158,5,0.004304,1.102,0.282,mixed,81,yes,no,2+ only (degenerate),no,no,no
172,4,0.004517,1.156,0.515,mixed,38,yes,6:54,2+ only (degenerate),no,no,no
174,5,0.004556,1.166,-0.038,mixed,89,yes,no,2+ only (degenerate),no,no,no
178,4,0.004541,1.162,-0.072,mixed,118,yes,no,2+ only (degenerate),no,no,no
179,5,0.004585,1.174,-0.052,edge-loaded,137,yes,no,2+ only (degenerate),yes,no,no
180,4,0.004969,1.272,0.377,mixed,54,yes,no,2+ only (degenerate),yes,no,no
211,5,0.004589,1.175,-0.104,edge-loaded,141,yes,no,2+ only (degenerate),yes,no,no
213,5,0.004736,1.212,-0.168,edge-loaded,205,yes,7:109,2+ only (degenerate),yes,no,no
214,5,0.004483,1.148,-0.157,mixed,77,yes,no,2+ only (degenerate),no,no,no
215,6,0.004673,1.196,-0.141,edge-loaded,178,yes,6:63,2+ only (degenerate),no,no,no
218,5,0.004446,1.138,0.122,mixed,109,no,9:426,2+ only (degenerate),no,no,no
223,7,0.004406,1.128,-0.156,edge-loaded,173,yes,"6:63,7:127",2+ only (degenerate),no,no,no
234,5,0.004628,1.185,0.110,mixed,101,yes,no,2+ only (degenerate),yes,no,no
235,6,0.004453,1.140,-0.136,edge-loaded,154,yes,"6:63,7:123",2+ only (degenerate),no,no,no
246,6,0.004875,1.248,0.229,mixed,74,yes,6:63,2+ only (degenerate),yes,no,no
247,7,0.004308,1.103,-0.243,edge-loaded,181,yes,"6:63,7:127",2+ only (degenerate),no,no,no
251,7,0.004430,1.134,-0.166,edge-loaded,149,yes,"6:63,7:127",2+ only (degenerate),yes,no,no
255,8,0.005447,1.394,-0.095,full,170,yes,"6:63,7:127",2+ only (degenerate),yes,yes,no
