   n         bin1        bin2a        bin2b         bin3        bin4a        bin4b
   2      15.0000       1.0001       0.0195       +0.123       8277.8     -0.00575
   3      15.0000       0.8643       0.0185       +0.219       7358.0     -0.01780
   4       8.0000       0.7777       0.0246       +0.324       6208.3     -0.03582
   5       9.0000       0.6667       0.0274       +0.151       5297.8     -0.06607
   6       5.0000       0.5185       0.0043       +0.085       4598.8     -0.10523
   7       8.0000       0.3494       0.0191       +0.049       4054.4     -0.14868
   8       5.0000       0.1666       0.0658       +0.012       3621.5     -0.19334
   9       7.0000       0.0220       0.0189       -0.086       3270.2     -0.23472
  10       5.0000       0.1778       0.0083       -0.024       2980.0     -0.27461
  11       5.0000       0.3086       0.0234       -0.033       2736.4     -0.31264
  12       4.0000       0.4196       0.0259       -0.072       2529.3     -0.34804
  14       4.0000       0.5986       0.0101       -0.128       2196.1     -0.41033
  15       3.5000       0.6722       0.0172       -0.136       2060.2     -0.43870
  16       3.5000       0.7362       0.0978       -0.189       1940.1     -0.46327
  18       3.0000       0.8454       0.0112       -0.362       1737.3     -0.50901
  20       3.0000       0.8334       0.0390       -0.348       1572.8     -0.54754
  25       2.0000       0.9584       0.0281       -0.103       1271.5     -0.62359
  27       2.0000       1.0010       0.0213       -0.054       1180.9     -0.64739
  30       1.0000       0.9872       0.0113       -0.009       1066.9     -0.67834
  32       1.0000       0.9293       0.1228       +0.032       1002.4     -0.69586
