n,m,height,block_d,block_type,Lambda,Out,In,Delta,DeltaMertens
2,2,1,1,uncertified,+0.6931471806,7.213475e-01,2.423797e-01,-4.789678e-01,-4.246810e-01
2,4,2,1,uncertified,+0.6931471806,1.803369e-01,7.159846e-02,-1.087384e-01,-8.159502e-02
2,6,1,1,uncertified,+1.7917594692,9.301844e-02,3.746473e-02,-5.555371e-02,-3.745810e-02
2,8,3,1,uncertified,+0.6931471806,6.011229e-02,2.404096e-02,-3.607133e-02,-2.249963e-02
2,10,1,2,uncertified,+2.3025850930,4.342945e-02,1.712103e-02,-2.630842e-02,-1.545106e-02
2,12,2,2,uncertified,+0.0000000000,3.353580e-02,1.301621e-02,-2.051959e-02,-1.147179e-02
2,14,1,2,uncertified,+2.6390573296,2.706594e-02,1.035687e-02,-1.670907e-02,-8.953808e-03
2,16,4,2,uncertified,+0.6931471806,2.254211e-02,8.497232e-03,-1.404488e-02,-7.259027e-03
2,18,1,2,uncertified,+2.8903717579,1.922090e-02,7.145998e-03,-1.207491e-02,-6.043037e-03
2,20,2,2,uncertified,+0.0000000000,1.669041e-02,6.108950e-03,-1.058146e-02,-5.152779e-03
2,22,1,2,uncertified,+3.0910424534,1.470525e-02,5.329397e-03,-9.375851e-03,-4.440687e-03
2,24,3,2,uncertified,+0.0000000000,1.311075e-02,4.692459e-03,-8.418290e-03,-3.894389e-03
2,26,1,2,uncertified,+3.2580965380,1.180491e-02,4.168280e-03,-7.636631e-03,-3.460722e-03
2,28,2,2,uncertified,+0.0000000000,1.071792e-02,3.736310e-03,-6.981605e-03,-3.103976e-03
2,30,1,2,uncertified,+3.4011973817,9.800470e-03,3.377281e-03,-6.423189e-03,-2.804069e-03
2,32,5,2,uncertified,+0.6931471806,9.016844e-03,3.073010e-03,-5.943834e-03,-2.550909e-03
2,34,1,2,uncertified,+3.5263605246,8.340544e-03,2.826223e-03,-5.514321e-03,-2.320979e-03
2,36,2,2,uncertified,-1.7917594692,7.751536e-03,2.585669e-03,-5.165868e-03,-2.149934e-03
2,38,1,2,uncertified,+3.6375861597,7.234410e-03,2.392329e-03,-4.842081e-03,-1.984880e-03
2,40,3,2,uncertified,+0.0000000000,6.777126e-03,2.233481e-03,-4.543645e-03,-1.829305e-03
2,42,1,2,uncertified,+3.7376696183,6.370152e-03,2.074274e-03,-4.295878e-03,-1.710792e-03
2,44,2,2,uncertified,+0.0000000000,6.005849e-03,1.937614e-03,-4.068235e-03,-1.600653e-03
2,46,1,2,uncertified,+3.8286413965,5.678027e-03,1.814225e-03,-3.863802e-03,-1.503506e-03
2,48,4,2,uncertified,+0.0000000000,5.381620e-03,1.700325e-03,-3.681295e-03,-1.419345e-03
2,50,1,2,uncertified,+3.9120230054,5.112444e-03,1.604749e-03,-3.507695e-03,-1.336223e-03
2,52,2,2,uncertified,+0.0000000000,4.867017e-03,1.514547e-03,-3.352470e-03,-1.264515e-03
2,54,1,2,uncertified,+3.9889840466,4.642415e-03,1.428807e-03,-3.213608e-03,-1.202985e-03
2,56,3,2,uncertified,+0.0000000000,4.436170e-03,1.368017e-03,-3.068153e-03,-1.129338e-03
2,58,1,2,uncertified,+4.0604430105,4.246182e-03,1.294365e-03,-2.951817e-03,-1.079858e-03
2,60,2,2,uncertified,-4.0943445622,4.070656e-03,1.232000e-03,-2.838656e-03,-1.029096e-03
2,62,1,2,uncertified,+4.1271343850,3.908046e-03,1.168259e-03,-2.739787e-03,-9.885999e-04
2,64,6,2,uncertified,+0.6931471806,3.757018e-03,1.114664e-03,-2.642354e-03,-9.458917e-04
2,66,1,2,uncertified,+4.1896547420,3.616411e-03,1.070482e-03,-2.545930e-03,-9.008749e-04
2,68,2,2,uncertified,+0.0000000000,3.485213e-03,1.023648e-03,-2.461565e-03,-8.648938e-04
2,70,1,2,uncertified,+4.2484952420,3.362535e-03,9.798033e-04,-2.382732e-03,-8.316800e-04
2,72,3,2,uncertified,+0.0000000000,3.247597e-03,9.444306e-04,-2.303167e-03,-7.951996e-04
2,74,1,2,uncertified,+4.3040650932,3.139709e-03,9.055501e-04,-2.234159e-03,-7.669482e-04
2,76,2,2,uncertified,+0.0000000000,3.038260e-03,8.746404e-04,-2.163620e-03,-7.350196e-04
2,78,1,2,uncertified,+4.3567088267,2.942706e-03,8.398551e-04,-2.102851e-03,-7.108813e-04
2,80,4,2,uncertified,+0.0000000000,2.852561e-03,8.061427e-04,-2.046419e-03,-6.892485e-04
2,82,1,2,uncertified,+4.4067192473,2.767393e-03,7.749520e-04,-1.992440e-03,-6.683720e-04
2,84,2,2,uncertified,-4.4308167988,2.686810e-03,7.510029e-04,-1.935807e-03,-6.432638e-04
2,86,1,2,uncertified,+4.4543472963,2.610463e-03,7.228281e-04,-1.887634e-03,-6.251505e-04
2,88,3,2,uncertified,+0.0000000000,2.538035e-03,6.959680e-04,-1.842067e-03,-6.082756e-04
2,90,1,2,uncertified,+4.4998096703,2.469240e-03,6.759221e-04,-1.793318e-03,-5.869446e-04
2,92,2,2,uncertified,+0.0000000000,2.403820e-03,6.514301e-04,-1.752390e-03,-5.722418e-04
2,94,1,2,uncertified,+4.5432947823,2.341538e-03,6.389020e-04,-1.702636e-03,-5.475976e-04
2,96,5,2,uncertified,+0.0000000000,2.282181e-03,6.163064e-04,-1.665874e-03,-5.348989e-04
2,98,1,2,uncertified,+4.5849674787,2.225552e-03,6.000432e-04,-1.625508e-03,-5.176143e-04
2,100,2,3,smooth,-2.3025850930,2.171472e-03,5.792143e-04,-1.592258e-03,-5.065219e-04
