cf_spikes_extended — closed-form panel
==============================================================================

spike_baseb_digits(n,d) ≈ (n-1)/n² · F(d,b)
F(d,b) = d(b-2)b^(d-1) + (b^d - 1)/(b - 1)

  b   n   d   pred_b-d    obs_b-d       gap     gap%     i  valid
------------------------------------------------------------------------------
 10   7   4    4054.41    4006.74    -47.67  -1.176%   218   3161
 10   8   4    3621.52    3564.85    -56.66  -1.565%   208   3073
 10   9   4    3270.22    3209.86    -60.36  -1.846%   200   2923
 10  11   4    2736.45    2665.21    -71.24  -2.603%   258   2526
 10  12   4    2529.31    2438.76    -90.55  -3.580%   260   2383
 10  13   4    2351.08    2257.07    -94.01  -3.998%   288   2368
 10  15   4    2060.24    1950.75   -109.49  -5.314%   298   2159
 10  20   4    1572.77    1425.45   -147.32  -9.367%   322   2030
  3   2   8    5194.00    5172.89    -21.11  -0.406%   860   5226
  3   3   8    4616.89    4584.37    -32.52  -0.704%   986   5012
  3   5   8    3324.16    3263.23    -60.93  -1.833%   962   4269
  4   2   6    3413.25    3400.21    -13.04  -0.382%   310   2364
  4   3   6    3034.00    3007.38    -26.62  -0.877%   296   2185
  4   5   6    2184.48    2140.85    -43.63  -1.997%   350   1962
  6   2   5    6868.75    6858.10    -10.65  -0.155%   202   1848
  6   3   5    6105.56    6085.10    -20.45  -0.335%   244   2626
  6   5   5    4396.00    4353.69    -42.31  -0.962%   284   2864
  8   2   4    3218.25    3208.73     -9.52  -0.296%    88   1105
  8   3   4    2860.67    2842.18    -18.49  -0.646%   118   1402
  8   5   4    2059.68    2030.16    -29.52  -1.433%   146   1464
 12   2   4   17751.25   17742.48     -8.77  -0.049%   136   1285
 12   3   4   15778.89   15761.48    -17.41  -0.110%   182   1649
 12   5   4   11360.80   11333.63    -27.17  -0.239%   250   2161
