n,k,spike_index,L_{k-1},C_{k-1}_actual,C_{k-1}_smooth,delta_actual,delta_smooth,step_in_k,spikes_gap
2,2,10,4.690240,2,2.250000,+2.690240,+2.440240,,
2,3,32,51.698101,48,47.250000,+3.698101,+4.448101,+1.007861,22
2,4,118,727.698883,723,722.250000,+4.698883,+5.448883,+1.000782,86
3,2,16,6.041349,2,2.000000,+4.041349,+4.041349,,
3,3,44,48.045323,42,42.000000,+6.045323,+6.045323,+2.003974,28
3,4,162,650.045714,642,642.000000,+8.045714,+8.045714,+2.000391,118
4,2,16,8.694605,2,1.687500,+6.694605,+7.007105,,
4,3,52,43.096476,34,35.437500,+9.096476,+7.658976,+2.401871,36
4,4,148,553.397897,541,541.687500,+12.397897,+11.710397,+3.301421,96
5,2,18,9.995635,1,1.440000,+8.995635,+8.555635,,
5,3,56,42.999565,31,30.240000,+11.999565,+12.759565,+3.003930,38
5,4,178,478.999957,463,462.240000,+15.999957,+16.759957,+4.000392,122
6,2,22,11.041393,1,1.250000,+10.041393,+9.791393,,
6,3,72,41.045323,27,26.250000,+14.045323,+14.795323,+4.003930,50
6,4,188,421.045714,402,401.250000,+19.045714,+19.795714,+5.000391,116
10,2,8,3.991270,0,0.810000,+3.991270,+3.181270,,
10,3,66,44.397505,18,17.010000,+26.397505,+27.387505,+22.406235,58
10,4,212,296.698927,261,260.010000,+35.698927,+36.688927,+9.301422,146
