n,k,spike_index,pq_digits,observed_log10_a,csv_log10_a,log10_a_match,log10_q_prev,T_k_smooth,T_k_actual,T_diff,predicted_smooth,residual_smooth,predicted_actual,residual_actual
2,2,10,39,38.651688,38.651700,True,4.690240,47.250000,48.0,+0.750000,37.869519,+0.782169,38.619519,+0.032169
2,3,32,620,619.648208,619.648200,True,51.698101,722.250000,723.0,+0.750000,618.853798,+0.794410,619.603798,+0.044410
2,4,118,8268,8267.647857,8267.647900,True,727.698883,9722.250000,9723.0,+0.750000,8266.852234,+0.795623,8267.602234,+0.045623
3,2,16,30,29.949516,29.949500,True,6.041349,42.000000,42.0,+0.000000,29.917301,+0.032215,29.917301,+0.032215
3,3,44,546,545.953765,545.953800,True,48.045323,642.000000,642.0,+0.000000,545.909355,+0.044410,545.909355,+0.044410
3,4,162,7342,7341.954195,7341.954200,True,650.045714,8642.000000,8642.0,+0.000000,7341.908572,+0.045623,7341.908572,+0.045623
4,2,16,17,16.651556,16.651600,True,8.694605,35.437500,34.0,-1.437500,18.048290,-1.396735,16.610790,+0.040765
4,3,52,455,454.852327,454.852300,True,43.096476,541.687500,541.0,-0.687500,455.494549,-0.642222,454.807049,+0.045278
4,4,148,6187,6186.249743,6186.249700,True,553.397897,7291.687500,7293.0,+1.312500,6184.891707,+1.358036,6186.204207,+0.045536
5,2,18,12,11.028269,11.028300,True,9.995635,30.240000,31.0,+0.760000,10.248730,+0.779539,11.008730,+0.019539
5,3,56,378,377.043980,377.044000,True,42.999565,462.240000,463.0,+0.760000,376.240869,+0.803111,377.000869,+0.043111
5,4,178,5266,5265.045579,5265.045600,True,478.999957,6222.240000,6223.0,+0.760000,5264.240087,+0.805493,5265.000087,+0.045493
6,2,22,5,4.948999,4.949000,True,11.041393,26.250000,27.0,+0.750000,4.167215,+0.781785,4.917215,+0.031785
6,3,72,320,319.953760,319.953800,True,41.045323,401.250000,402.0,+0.750000,319.159354,+0.794406,319.909354,+0.044406
6,4,188,4560,4559.954195,4559.954200,True,421.045714,5401.250000,5402.0,+0.750000,4559.158572,+0.795623,4559.908572,+0.045623
10,2,8,11,10.062734,10.062700,True,3.991270,17.010000,18.0,+0.990000,9.027459,+1.035275,10.017459,+0.045275
10,3,66,173,172.245942,172.245900,True,44.397505,260.010000,261.0,+0.990000,171.214989,+1.030953,172.204989,+0.040953
10,4,212,2908,2907.647422,2907.647400,True,296.698927,3500.010000,3501.0,+0.990000,2906.612147,+1.035276,2907.602147,+0.045276
