n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
2,100000,1,0.5,1,1.386294,2541,24710.184064,0.00039355,0.00005610,0.693147
2,100000,2,0.0,36,190.934565,2541,24710.184064,0.01416765,0.00772696,0.000000
2,100000,3,-0.5,36,331.962534,2541,24710.184064,0.01416765,0.01343424,-165.981267
2,100000,4,-1.0,634,5836.045088,2541,24710.184064,0.24950807,0.23617975,-5836.045088
2,100000,5,-1.5,4,33.752600,2541,24710.184064,0.00157418,0.00136594,-50.628900
2,100000,6,-2.0,162,1442.492519,2541,24710.184064,0.06375443,0.05837644,-2884.985037
2,100000,7,-2.5,2,19.020890,2541,24710.184064,0.00078709,0.00076976,-47.552225
2,100000,8,-3.0,834,8274.392321,2541,24710.184064,0.32821724,0.33485758,-24823.176964
2,100000,9,-3.5,27,271.091025,2541,24710.184064,0.01062574,0.01097082,-948.818588
2,100000,10,-4.0,45,446.662137,2541,24710.184064,0.01770956,0.01807603,-1786.648549
2,100000,12,-5.0,358,3624.999621,2541,24710.184064,0.14088941,0.14670063,-18124.998103
2,100000,14,-6.0,5,51.241247,2541,24710.184064,0.00196773,0.00207369,-307.447479
2,100000,15,-6.5,7,72.994960,2541,24710.184064,0.00275482,0.00295404,-474.467239
2,100000,16,-7.0,247,2587.028107,2541,24710.184064,0.09720582,0.10469481,-18109.196747
2,100000,18,-8.0,38,394.870965,2541,24710.184064,0.01495474,0.01598009,-3158.967722
2,100000,20,-9.0,22,233.420166,2541,24710.184064,0.00865801,0.00944631,-2100.781493
2,100000,21,-9.5,1,11.196844,2541,24710.184064,0.00039355,0.00045313,-106.370017
2,100000,24,-11.0,73,787.822507,2541,24710.184064,0.02872885,0.03188250,-8666.047582
2,100000,27,-12.5,1,10.694215,2541,24710.184064,0.00039355,0.00043279,-133.677688
2,100000,30,-14.0,2,22.227531,2541,24710.184064,0.00078709,0.00089953,-311.185437
2,100000,32,-15.0,6,65.947927,2541,24710.184064,0.00236128,0.00266886,-989.218908
3,100000,1,0.5,1,2.197225,1724,16872.004173,0.00058005,0.00013023,1.098612
