n,N,c_max,coprime_count,M_n,M_n_phi_over_N,ratio_to_n_eq_2,predicted_ratio,predicted_diff
2,10000,50,25,281,0.112546,1.000000,1.000000,+0.000000
3,10000,33,22,193,0.077300,0.686833,0.790123,-0.103291
5,10000,20,16,103,0.041253,0.366548,0.409600,-0.043052
7,10000,14,12,59,0.023631,0.209964,0.239900,-0.029936
2,100000,158,79,2541,0.119771,1.000000,1.000000,+0.000000
3,100000,105,70,1724,0.081262,0.678473,0.790123,-0.111650
5,100000,63,51,867,0.040866,0.341204,0.409600,-0.068396
7,100000,45,39,510,0.024039,0.200708,0.239900,-0.039192
2,1000000,500,250,23801,0.126952,1.000000,1.000000,+0.000000
3,1000000,333,222,15962,0.085139,0.670644,0.790123,-0.119479
5,1000000,200,160,7805,0.041631,0.327927,0.409600,-0.081673
7,1000000,142,122,4442,0.023693,0.186631,0.239900,-0.053269
2,10000000,1581,791,226293,0.133242,1.000000,1.000000,+0.000000
3,10000000,1054,703,151500,0.089203,0.669486,0.790123,-0.120637
5,10000000,632,506,72204,0.042514,0.319073,0.409600,-0.090527
7,10000000,451,387,41424,0.024391,0.183055,0.239900,-0.056845
