n,spike_idx,L_at,log_b_a,k_best,offset_from_canonical,canonical
2,10,4.690240,38.651688,2,-0.008730,1
2,32,51.698101,619.648208,3,-0.000869,1
2,71,692.538246,12.980158,4,-35.160724,0
2,118,727.698883,8267.647857,4,-0.000087,1
2,273,9069.535509,583.975819,5,-659.163461,0
2,353,9694.979982,8.099112,5,-33.718988,0
2,408,9728.698961,102765.647821,5,-0.000009,1
2,424,112501.955218,3.300161,6,-9727.743752,0
2,517,112549.598018,3.269746,6,-9680.100952,0
2,594,112592.370655,538.303343,6,-9637.328315,0
2,839,113250.535242,8221.975381,6,-8979.163728,0
2,922,121517.110131,3.062958,6,-712.588839,0
2,1031,121574.535673,573.975733,6,-655.163297,0
3,16,6.041349,29.949516,2,-0.004408,1
3,44,48.045323,545.953765,3,-0.000435,1
3,162,650.045714,7341.954195,4,-0.000043,1
3,321,8076.146823,489.753189,5,-575.898934,0
3,488,8652.045753,91337.954238,5,-0.000004,1
3,736,100112.245981,417.552691,6,-8541.799777,0
3,889,100601.637197,3.117271,6,-8052.408560,0
3,1045,100686.146084,7269.753697,6,-7967.899673,0
3,1219,108049.029186,3.039811,6,-605.016571,0
3,1273,108084.146905,473.753267,6,-569.898852,0
4,16,8.694605,16.651556,2,+0.296665,0
4,52,43.096476,454.852327,3,-0.301465,0
4,78,515.277481,3.061829,4,-38.120459,0
4,148,553.397897,6186.249743,4,-0.000043,1
4,331,6834.240401,376.564993,5,-474.157539,0
4,516,7308.096906,77051.851924,5,-0.301034,0
4,818,84507.383891,276.277894,6,-7179.014049,0
4,1039,84891.163361,3.075547,6,-6795.234579,0
4,1203,84978.541645,6085.962644,6,-6707.856295,0
4,1507,91220.240483,354.565228,6,-466.157457,0
5,18,9.995635,11.028269,2,+0.995635,0
5,56,42.999565,377.043980,3,-0.000435,1
5,178,478.999957,5265.045579,4,-0.000043,1
5,387,5853.047965,276.951944,5,-389.952035,0
5,616,6242.999996,65737.045740,5,-0.000004,1
5,968,72157.091684,148.860221,6,-6089.908316,0
5,1451,72543.046057,5136.953856,6,-5703.953943,0
5,1562,77739.491615,3.356217,6,-507.508385,0
5,1785,77867.048047,248.952257,6,-379.951953,0
5,1846,78145.403930,3.527243,6,-101.596070,0
6,11,3.514149,3.188928,2,-6.531608,0
6,22,11.041393,4.948999,2,+0.995635,0
6,72,41.045323,319.953760,3,-0.000435,1
6,188,421.045714,4559.954195,4,-0.000043,1
6,319,5045.322023,3.927627,5,-380.723734,0
6,425,5101.138107,199.770626,5,-324.907651,0
6,660,5426.045753,57049.954238,5,-0.000004,1
6,1044,62678.228539,45.587570,6,-5252.817218,0
6,1595,62998.137363,4405.771139,6,-4932.908394,0
10,8,3.991270,10.062734,2,-13.707700,0
10,66,44.397505,172.245942,3,-0.301465,0
10,212,296.698927,2907.647422,4,-0.000043,1
10,844,3545.698966,36909.647778,5,-0.000004,1
10,1072,40575.987999,3.633367,6,-3478.710971,0
10,1749,40930.444127,2640.157889,6,-3124.254843,0
