n,K,D,N_D,log_N_D_over_K,M_n,frac
2,10000,1,1,-9.210340,1040,0.000962
2,10000,2,24,-6.032287,1040,0.023077
2,10000,3,24,-6.032287,1040,0.023077
2,10000,4,279,-3.579129,1040,0.268269
2,10000,5,3,-8.111728,1040,0.002885
2,10000,6,83,-4.791500,1040,0.079808
2,10000,7,1,-9.210340,1040,0.000962
2,10000,8,330,-3.411248,1040,0.317308
2,10000,9,17,-6.377127,1040,0.016346
2,10000,10,24,-6.032287,1040,0.023077
2,10000,12,145,-4.233607,1040,0.139423
2,10000,14,3,-8.111728,1040,0.002885
2,10000,15,4,-7.824046,1040,0.003846
2,10000,16,68,-4.990833,1040,0.065385
2,10000,18,15,-6.502290,1040,0.014423
2,10000,20,7,-7.264430,1040,0.006731
2,10000,24,12,-6.725434,1040,0.011538
3,10000,1,1,-9.210340,1555,0.000643
3,10000,2,24,-6.032287,1555,0.015434
3,10000,3,24,-6.032287,1555,0.015434
3,10000,4,279,-3.579129,1555,0.179421
3,10000,5,3,-8.111728,1555,0.001929
3,10000,6,87,-4.744432,1555,0.055949
3,10000,7,1,-9.210340,1555,0.000643
3,10000,8,376,-3.280751,1555,0.241801
3,10000,9,21,-6.165818,1555,0.013505
3,10000,10,26,-5.952244,1555,0.016720
3,10000,11,1,-9.210340,1555,0.000643
3,10000,12,248,-3.696912,1555,0.159486
3,10000,13,1,-9.210340,1555,0.000643
3,10000,14,23,-6.074846,1555,0.014791
3,10000,15,9,-7.013116,1555,0.005788
3,10000,16,195,-3.937341,1555,0.125402
3,10000,18,51,-5.278515,1555,0.032797
3,10000,20,55,-5.203007,1555,0.035370
3,10000,21,3,-8.111728,1555,0.001929
3,10000,22,1,-9.210340,1555,0.000643
3,10000,24,86,-4.755993,1555,0.055305
3,10000,25,1,-9.210340,1555,0.000643
3,10000,27,2,-8.517193,1555,0.001286
3,10000,28,9,-7.013116,1555,0.005788
3,10000,30,8,-7.130899,1555,0.005145
3,10000,32,12,-6.725434,1555,0.007717
3,10000,36,6,-7.418581,1555,0.003859
3,10000,40,2,-8.517193,1555,0.001286
5,10000,1,1,-9.210340,2008,0.000498
5,10000,2,24,-6.032287,2008,0.011952
5,10000,3,24,-6.032287,2008,0.011952
5,10000,4,279,-3.579129,2008,0.138944
