prefix_fraction,lexicographic,bidder_key0,bidder_median,bidder_p05,bidder_p95,random_median,random_p05,random_p95
1.111111111111111164e-04,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00,2.828427124746190291e+00
2.222222222222222329e-04,4.000222265440673830e+00,1.750097241130294856e+00,1.750097241130294856e+00,1.750097241130294856e+00,4.000222265440673830e+00,1.750097241130294856e+00,1.750097241130294856e+00,4.000222265440673830e+00
3.333333333333333222e-04,4.899523967867072116e+00,3.062202479916920073e+00,3.062202479916920073e+00,1.224880991966768251e+00,3.062202479916920073e+00,1.224880991966768251e+00,1.224880991966768251e+00,3.062202479916920073e+00
4.444444444444444657e-04,5.657797399122324045e+00,2.475286362116016825e+00,2.475286362116016825e+00,8.840308436128632152e-01,4.066541880619170435e+00,2.475286362116016825e+00,8.840308436128632152e-01,4.066541880619170435e+00
5.555555555555555551e-04,6.325961402017168389e+00,2.055937455655579615e+00,2.055937455655579615e+00,2.055937455655579615e+00,3.479278771109442836e+00,2.055937455655579615e+00,7.907451752521460486e-01,3.479278771109442836e+00
6.666666666666666444e-04,6.930128747455143845e+00,1.732532186863786405e+00,1.732532186863786405e+00,1.732532186863786405e+00,4.331330467159465236e+00,1.732532186863786405e+00,8.662660934318929806e-01,3.031931327011625932e+00
7.777777777777777337e-04,7.485810737186207930e+00,1.470427109090148177e+00,2.673503834709360039e+00,1.470427109090148177e+00,3.876580560328572123e+00,1.470427109090148177e+00,1.470427109090148177e+00,2.673503834709360039e+00
8.888888888888889315e-04,8.003113273224172985e+00,1.250486448941277251e+00,2.375924252988426577e+00,1.250486448941277251e+00,4.457984190475646535e+00,1.250486448941277251e+00,1.250486448941277251e+00,3.501362057035576125e+00
1.000000000000000021e-03,8.489055546058352775e+00,1.061131943257294097e+00,2.122263886514588194e+00,1.061131943257294097e+00,4.244527773029176387e+00,2.122263886514588194e+00,1.061131943257294097e+00,3.183395829771882291e+00
1.111111111111111110e-03,8.948747900559284929e+00,1.118593487569910616e+00,1.901608928868847803e+00,1.118593487569910616e+00,4.770801224485662573e+00,1.901608928868847803e+00,1.118593487569910616e+00,2.908343067681767202e+00
1.222222222222222199e-03,9.386048019810706577e+00,1.706554185420128489e+00,2.666490914718950389e+00,1.173256002476338100e+00,4.442373863921766031e+00,1.706554185420128489e+00,1.173256002476338100e+00,2.666490914718950389e+00
1.333333333333333289e-03,9.803952773583157310e+00,1.531867620872368496e+00,2.450988193395789772e+00,1.531867620872368496e+00,4.289229338442631878e+00,1.531867620872368496e+00,1.225494096697894664e+00,2.450988193395789772e+00
1.444444444444444378e-03,1.020484528313380856e+01,1.373729172729551307e+00,2.256840783769976877e+00,1.373729172729551307e+00,4.773708875235184834e+00,1.373729172729551307e+00,1.275605660391726071e+00,3.139952394810402669e+00
1.555555555555555467e-03,1.059065766721646717e+01,1.323832208402058175e+00,2.080307756060377766e+00,1.323832208402058175e+00,4.633412729407204722e+00,1.323832208402058175e+00,1.300192347537735937e+00,2.931342747175986752e+00
1.666666666666666774e-03,1.096298218082844400e+01,1.370372772603555278e+00,1.918521881644977833e+00,1.370372772603555278e+00,4.385192872331377778e+00,1.918521881644977833e+00,1.096298218082844445e+00,2.740745545207111000e+00
1.777777777777777863e-03,1.132314944121254818e+01,1.415393680151568523e+00,2.565401045274718239e+00,1.415393680151568523e+00,4.953877880530490607e+00,1.769242100189460931e+00,9.730831551042035121e-01,2.565401045274718239e+00
1.888888888888888952e-03,1.167228492341613411e+01,1.459035615427016763e+00,2.403117484232733414e+00,1.459035615427016763e+00,4.720409344028583476e+00,1.630686864300783467e+00,8.582562443688334097e-01,3.175548104164683139e+00
2.000000000000000042e-03,1.201135067717949667e+01,1.501418834647437084e+00,2.252128251971155848e+00,1.501418834647437084e+00,4.504256503942311696e+00,1.501418834647437084e+00,7.507094173237185419e-01,3.002837669294874168e+00
2.111111111111110914e-03,1.234117673220460532e+01,1.542647091525575664e+00,2.110990756824471681e+00,1.542647091525575664e+00,4.303173465834500888e+00,1.542647091525575664e+00,8.119195218555661508e-01,2.841718326494481417e+00
2.222222222222222220e-03,1.266248514576878748e+01,8.705458537716042056e-01,1.978513304026372932e+00,1.582810643221098434e+00,4.720732743406921728e+00,1.582810643221098434e+00,1.266248514576878703e+00,2.690778093475867383e+00
2.333333333333333526e-03,1.297590869580203687e+01,1.158563276410896181e+00,1.853701242257433934e+00,1.621988586975254387e+00,4.529982410766599799e+00,1.853701242257433934e+00,1.158563276410896181e+00,2.548839208103971465e+00
2.444444444444444399e-03,1.328200560828038768e+01,1.056523173385939929e+00,2.075313376293810741e+00,1.147082302533306342e+00,4.452490516412175303e+00,1.735716641991187137e+00,1.056523173385939929e+00,3.094103579201680887e+00
2.555555555555555705e-03,1.358127130112789338e+01,1.623847655569639725e+00,2.288148969211765138e+00,1.623847655569639725e+00,4.281052910138140710e+00,1.697658912640986673e+00,1.033357598998861482e+00,2.952450282853890329e+00
2.666666666666666578e-03,1.387414785165653619e+01,2.167835601821333835e+00,2.167835601821333835e+00,1.517484921274933951e+00,4.118887643460534598e+00,1.734268481457067024e+00,1.083917800910666918e+00,2.818186282367734385e+00
2.777777777777777884e-03,1.416103170469949113e+01,2.053349597181426400e+00,2.053349597181426400e+00,1.416103170469949157e+00,3.965088877315857463e+00,1.770128963087436391e+00,1.132882536375959148e+00,2.690596023892903421e+00
2.888888888888888756e-03,1.444228000523111888e+01,1.944153077627265969e+00,1.944153077627265969e+00,1.319246731247073479e+00,4.350042511191003491e+00,1.805285000653889860e+00,1.180378654273697148e+00,2.569059424007458237e+00
3.000000000000000062e-03,1.471821584407902073e+01,1.839776980509877591e+00,1.839776980509877591e+00,1.226517987006584987e+00,4.200824105497550143e+00,1.839776980509877591e+00,1.226517987006584987e+00,2.453035974013169973e+00
3.111111111111110935e-03,1.498913263638899629e+01,1.739810038152294291e+00,1.873641579548624314e+00,1.271399643265137769e+00,4.148777783286240251e+00,1.739810038152294291e+00,1.137568101868807968e+00,2.944293910719267160e+00
3.222222222222222241e-03,1.525529780189203777e+01,1.643889849341814591e+00,1.906912225236504499e+00,1.091542859962965073e+00,4.011091232394027983e+00,1.643889849341814591e+00,1.052089503578761409e+00,2.827490540867921176e+00
3.333333333333333547e-03,1.551695587840738710e+01,1.551695587840738799e+00,2.133581433281015904e+00,1.386827931632659938e+00,3.879238969601846776e+00,1.551695587840738799e+00,9.698097424004618050e-01,2.715467278721292566e+00
3.444444444444444420e-03,1.577433117173941213e+01,1.462942003830671300e+00,2.035397570547020862e+00,1.462942003830671300e+00,3.752764270696069548e+00,1.462942003830671300e+00,8.904864371143217383e-01,2.607853137263370424e+00
3.555555555555555726e-03,1.602763002364491385e+01,1.940845823175751717e+00,2.003453752955614231e+00,1.386765644623964455e+00,3.631259927232051155e+00,1.940845823175751717e+00,8.765110169180811983e-01,2.504317191194518344e+00
3.666666666666666598e-03,1.627704276306784692e+01,2.404563135453205103e+00,2.034630345383480865e+00,1.294764765244033278e+00,3.514361505662376484e+00,1.849663950348618968e+00,9.248319751743093731e-01,2.404563135453205103e+00
3.777777777777777905e-03,1.652274539308039536e+01,2.308324724033290476e+00,2.186833949084169948e+00,1.214907749491205724e+00,3.401741698575375672e+00,1.761616236762248100e+00,9.719261995929644460e-01,2.445001845851050959e+00
3.888888888888888777e-03,1.676490105600792546e+01,2.215361925258189757e+00,2.215361925258189757e+00,1.200486664903424927e+00,3.293105564572984978e+00,1.676490105600792591e+00,1.017868992686195462e+00,2.754233744915587589e+00
4.000000000000000083e-03,1.700366131137549885e+01,2.125457663921937357e+00,2.125457663921937357e+00,1.142433494358041424e+00,3.188186495882905813e+00,1.594093247941452907e+00,1.062728831960968678e+00,2.656822079902421585e+00
4.111111111111111389e-03,1.723916725509746328e+01,2.038415047055443630e+00,2.154895906887182910e+00,1.514251177812615312e+00,3.086742785541100265e+00,1.630732037644354593e+00,1.106568168401526275e+00,2.562578916298271725e+00
4.222222222222221828e-03,1.747155050336812465e+01,1.954054990508276912e+00,2.183943812921015581e+00,1.436805140079615351e+00,3.505804541794261819e+00,1.666693962492354020e+00,9.195552896509537888e-01,2.471304840936938696e+00
4.333333333333333134e-03,1.770093406072201603e+01,1.872214179499444242e+00,2.212616757590252003e+00,1.361610312363232156e+00,3.404025780908080279e+00,1.872214179499444242e+00,8.510064452270201807e-01,2.893421913771868414e+00
4.444444444444444441e-03,1.792743308850592854e+01,1.792743308850592632e+00,2.240929136063241067e+00,1.288534253236363503e+00,3.305370475693280241e+00,1.792743308850592632e+00,7.843251976221342625e-01,2.801161420079051112e+00
