t,L1,mean_E,active_frac
0,1.99218750e+00,0.0000,1.000000
5,1.26174700e+00,-0.0783,1.000000
10,7.05551500e-01,0.2765,1.000000
20,2.79984500e-01,0.9287,1.000000
50,3.16375000e-02,2.7734,1.000000
100,2.24565000e-02,5.7899,1.000000
200,1.93075000e-02,11.8143,0.997326
500,1.68555000e-02,29.8729,0.030988
1000,1.45770000e-02,59.9813,0.000000
2000,1.34725000e-02,120.1843,0.000000
5000,1.32460000e-02,300.8057,0.000000
10000,1.34380000e-02,601.8405,0.000000
20000,1.33580000e-02,1203.8893,0.000000
35000,1.26790000e-02,2106.9789,0.000000
50000,1.38200000e-02,3010.0643,0.000000
