# Erdős–Borwein brief #3 controls

  T          R_d w=16           R_d w=8     R_d^shuf w=16   Khinchin expect
  4              3554              3492              3579            3498.5
  6               911               928               869             894.7
  8               250               247               193             225.0
 10                76                63                56              56.3
 12                25                19                13              14.1
 14                14                 4                 3               3.5

## R_d w=16 (w=16) — top 10 by log2(a+1)
       i   log2 a+1     log2 q    bit pos (≈2 log q)   entry m=bitpos/w
       7     19.170       49.6                  99.2                6.2
      31     19.170      145.6                 291.2               18.2
   24918     16.267    43101.2               86202.4             5387.6
       1     16.000        0.0                   0.0                0.0
   23574     15.748    40739.7               81479.4             5092.5
   26893     15.205    46513.9               93027.9             5814.2
    4131     15.009     7108.2               14216.4              888.5
       2     15.000       15.0                  30.0                1.9
    8077     14.956    13926.8               27853.6             1740.9
   34268     14.951    59119.3              118238.6             7389.9

## R_d w=8 (w=8) — top 10 by log2(a+1)
       i   log2 a+1     log2 q    bit pos (≈2 log q)   entry m=bitpos/w
    6835     15.413    11508.4               23016.8             2877.1
   36606     14.393    62687.9              125375.7            15672.0
   35848     14.170    61407.0              122814.0            15351.8
   37781     14.156    64711.0              129422.1            16177.8
   17960     13.961    30496.9               60993.8             7624.2
   38399     13.813    65806.8              131613.6            16451.7
   27826     13.735    47648.1               95296.2            11912.0
   19739     13.628    33590.7               67181.4             8397.7
   20522     13.393    34950.3               69900.6             8737.6
    5807     13.288     9789.1               19578.3             2447.3

## R_d^shuf w=16 (w=16) — top 10 by log2(a+1)
       i   log2 a+1     log2 q    bit pos (≈2 log q)   entry m=bitpos/w
   35099     17.483    60077.9              120155.9             7509.7
   29651     15.815    50698.0              101396.0             6337.3
   17203     15.370    29370.2               58740.5             3671.3
       1     13.415        0.0                   0.0                0.0
   12853     12.743    21988.7               43977.3             2748.6
    3768     12.589     6417.4               12834.7              802.2
   30418     12.495    51995.2              103990.4             6499.4
   29683     12.360    50747.8              101495.6             6343.5
    4379     12.345     7419.4               14838.8              927.4
    5277     12.273     9003.3               18006.6             1125.4

