# Erdős–Borwein brief #3 — base-65 (padding-free)

n_steps per run: R_d^65=35185, R_d^65^shuf=35342

  T                R_d^65           R_d^65^shuf     Khinchin(35185)
  4                  3114                  3056              3077.4
  6                   767                   740               787.0
  8                   204                   198               197.9
 10                    57                    37                49.5
 12                    16                    11                12.4
 14                     6                     1                 3.1

## R_d^65 — top 10 by log2(a+1)
       i   log2 a+1     log2 q
   31893     18.269    54452.8
   10495     15.637    17756.5
    5071     15.054     8670.8
    5308     14.904     9108.9
    3931     14.680     6748.6
   17203     14.467    29221.4
   30254     13.694    51584.1
   22762     13.477    38786.0
   17962     12.858    30507.5
   27506     12.727    46918.6

## R_d^65^shuf — top 10 by log2(a+1)
       i   log2 a+1     log2 q
    6853     15.475    11623.5
   30592     14.000    52053.8
   13724     13.710    23456.3
   11069     13.665    18859.1
   17699     12.840    30219.4
    1271     12.737     2089.5
    5617     12.708     9503.6
   21971     12.590    37446.0
   16249     12.523    27783.7
   23033     12.345    39176.1

