i,log2_a_plus_1,log2_q
0,0.000000,0.000000
1,15.999978,0.000000
2,15.000044,15.000000
3,1.000000,15.000044
4,1.584963,16.584992
5,1.000000,17.000033
6,13.415082,30.415082
7,19.169971,49.585051
8,11.607793,61.192381
9,1.000000,61.192843
10,1.584963,62.777652
11,1.000000,63.192728
12,2.000000,65.099611
13,1.584963,66.280184
14,1.000000,66.807430
15,11.607793,78.415082
16,2.321928,80.415197
17,1.584963,81.585109
18,10.414685,91.999207
19,1.000000,92.000264
20,2.321928,94.321981
21,1.584963,95.459504
22,2.321928,97.614780
23,2.321928,99.693557
24,1.000000,100.000070
25,10.414685,110.414553
26,1.000000,110.415610
27,1.584963,112.000220
28,12.829921,124.830009
29,1.000000,124.830207
30,1.584963,126.415104
31,19.169925,145.585027
32,1.000000,145.585029
33,1.584963,147.169991
34,8.744834,155.912581
35,6.768184,162.667500
36,1.584963,163.674163
37,1.000000,164.256908
38,1.000000,164.994761
39,1.000000,165.672500
40,3.321928,168.939309
41,2.584963,171.290907
42,1.584963,172.425738
43,2.000000,174.214586
44,5.643856,179.837792
45,1.000000,179.866769
46,3.169925,183.033503
47,1.584963,184.111673
48,1.584963,185.418302
49,1.584963,186.683898
50,1.584963,187.956475
51,2.321928,190.098536
52,1.000000,190.393149
53,1.000000,191.253349
54,1.000000,191.886433
55,1.584963,193.289590
56,13.792892,207.082418
57,1.000000,207.082520
58,1.000000,208.082469
59,1.000000,208.667449
60,2.584963,211.169947
61,7.507795,218.671199
62,1.000000,218.679140
63,2.807355,221.485363
64,1.000000,221.678150
65,4.169925,225.838014
66,1.000000,225.916548
67,1.000000,226.877815
68,1.000000,227.475804
69,1.000000,228.207573
70,3.584963,231.743896
71,1.000000,231.863173
72,2.000000,233.834265
73,2.000000,235.536950
74,2.000000,237.262566
75,1.000000,237.643705
76,2.321928,239.897038
77,1.000000,240.171734
78,1.000000,241.040914
79,2.807355,243.751849
80,1.000000,243.956905
81,1.000000,244.858017
82,5.554589,250.398276
83,1.000000,250.428949
84,1.000000,251.413694
85,2.321928,253.585322
86,1.000000,253.874519
