n,bin_idx,K_lo,K_hi,c_hardy_1,c_hardy_2,d_hardy,log10_c_hardy_prod,c_unif_1,c_unif_2,d_unif,log10_c_unif_prod
2,0,10,100,185,197,8,4.561637954564607,27,165,20,3.6488477083728936
2,0,10,100,197,149,4,4.467652494573867,27,147,15,3.5986810989071634
2,0,10,100,71,35,8,3.395326393069351,197,103,4,4.307303450866765
2,0,10,100,191,65,8,4.093946723890583,99,85,24,3.9250541203118425
2,0,10,100,65,63,24,3.6122539060964374,185,167,8,4.489888199550597
2,0,10,100,139,61,4,3.928344635264862,191,59,4,4.051885378889872
2,0,10,100,61,79,4,3.6829569263012085,165,199,16,4.516337020623613
2,0,10,100,187,83,8,4.190919698912573,81,129,12,4.019074729177898
2,0,10,100,59,27,8,3.2022157758011316,187,189,32,4.548303410709743
2,0,10,100,75,33,18,3.3935752032695876,105,189,30,4.297651103243182
2,0,10,100,51,51,9,3.4151403521958725,151,151,3,4.3579538945863385
2,0,10,100,55,177,16,3.9883359558560505,77,119,12,3.9620376865650124
2,0,10,100,113,177,8,4.301051709845226,159,165,24,4.418881068534358
2,0,10,100,181,187,8,4.529520181405683,23,141,8,3.5109469486729727
2,0,10,100,115,37,8,3.628899564420607,121,153,18,4.267476801134049
2,0,10,100,197,51,8,4.002036402259529,47,73,4,3.5354207180561734
2,0,10,100,123,191,8,4.370938478687125,139,33,8,3.6615287401319825
2,0,10,100,169,63,18,4.027227254067255,183,123,12,4.352356201169828
2,0,10,100,87,123,12,4.029424364058016,105,121,24,4.103974669386388
2,0,10,100,107,69,8,3.868232868422465,73,197,4,4.157789086282049
2,0,10,100,189,21,15,3.5986810989071634,187,59,8,4.042693618178643
2,0,10,100,131,135,16,4.24760506415077,119,169,12,4.303433666006204
2,0,10,100,73,95,8,3.8410464654093035,183,69,12,4.1013001804676845
2,0,10,100,131,25,6,3.515211304327802,55,65,12,3.5532760461370994
2,0,10,100,71,193,4,4.136815657726849,29,121,6,3.5451833682154064
2,0,10,100,77,165,24,4.103974669386388,23,45,12,3.0149403497929366
2,0,10,100,185,41,8,3.879955585122749,165,37,16,3.7856856682809013
2,0,10,100,171,101,12,4.237317484174796,95,143,16,4.13305964275391
2,0,10,100,61,83,4,3.704407927386841,69,99,16,3.8344842853348053
2,0,10,100,189,197,16,4.570928030334837,185,35,12,3.8112397727532894
2,0,10,100,147,77,16,4.053808059920658,41,31,4,3.104145550554008
2,0,10,100,145,93,16,4.12985095078891,113,77,8,3.939569168655902
2,0,10,100,131,47,4,3.7893691535914815,163,177,8,4.4601608707657645
2,0,10,100,97,95,8,3.964495339555093,33,55,12,3.258876629372131
2,0,10,100,51,81,12,3.6160551949765862,167,183,8,4.485167560878013
2,0,10,100,191,175,12,4.524071415934022,117,175,36,4.311223910432456
2,0,10,100,91,191,8,4.240074759568821,25,105,16,3.4191293077419758
2,0,10,100,81,163,10,4.120672623282608,35,35,9,3.0881360887005513
2,0,10,100,29,65,8,3.2753113545418118,195,51,24,3.9976047874604546
2,0,10,100,115,43,8,3.694166295933198,27,97,8,3.418135498425232
2,0,10,100,181,107,4,4.287062352554394,33,103,8,3.5313511645830595
2,0,10,100,143,103,8,4.168173262170234,55,41,8,3.3531465462139796
2,0,10,100,107,147,12,4.196701112433386,103,37,4,3.581038948772167
