n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
2,0,1000,10000,3664,7715,2,-15,1,-15.0
2,0,1000,10000,1152,3601,2,-11,1,-11.0
2,0,1000,10000,2781,7051,2,-7,1,-7.0
2,0,1000,10000,1341,7022,2,-15,1,-15.0
2,0,1000,10000,3598,4876,2,-11,1,-11.0
2,0,1000,10000,5351,8834,2,-39,1,-39.0
2,0,1000,10000,6416,6787,2,-31,1,-31.0
2,0,1000,10000,5965,6935,2,-23,1,-23.0
2,0,1000,10000,4972,8569,2,-3,1,-3.0
2,0,1000,10000,2296,9181,2,-7,1,-7.0
2,0,1000,10000,1189,1903,2,-3,1,-3.0
2,0,1000,10000,1264,9832,2,-25,2,-12.5
2,0,1000,10000,3121,7639,2,-2,1,-2.0
2,0,1000,10000,5426,8939,2,-11,1,-11.0
2,0,1000,10000,1103,2242,2,-17,1,-17.0
2,0,1000,10000,2441,4816,2,-3,1,-3.0
2,0,1000,10000,1472,3366,2,-15,1,-15.0
2,0,1000,10000,2723,4360,2,-17,1,-17.0
2,0,1000,10000,7739,8711,2,-23,1,-23.0
2,0,1000,10000,2003,6728,2,-59,1,-59.0
2,0,1000,10000,7680,8112,2,-1,1,-1.0
2,0,1000,10000,2227,7647,2,-7,1,-7.0
2,0,1000,10000,4071,7800,2,-7,1,-7.0
2,0,1000,10000,3690,5694,2,-7,1,-7.0
2,0,1000,10000,5412,7236,2,-7,1,-7.0
2,0,1000,10000,7716,8622,2,-7,1,-7.0
2,0,1000,10000,3112,5994,2,-5,1,-5.0
2,0,1000,10000,5667,6161,2,-17,1,-17.0
2,0,1000,10000,1259,3203,2,-23,1,-23.0
2,0,1000,10000,5905,9562,2,-11,1,-11.0
2,0,1000,10000,7746,8338,2,-23,1,-23.0
2,0,1000,10000,2040,3197,2,-3,1,-3.0
2,0,1000,10000,1126,6204,2,-3,1,-3.0
2,0,1000,10000,1307,2461,2,-31,1,-31.0
2,0,1000,10000,1298,2142,2,-7,1,-7.0
2,0,1000,10000,6161,8451,2,-8,1,-8.0
2,0,1000,10000,2814,6825,2,-3,1,-3.0
2,0,1000,10000,3368,9325,2,-15,1,-15.0
2,0,1000,10000,1910,8130,2,-15,1,-15.0
2,0,1000,10000,3418,5600,2,-7,1,-7.0
2,0,1000,10000,7024,9561,2,-3,1,-3.0
2,0,1000,10000,4137,8439,2,-3,1,-3.0
2,0,1000,10000,5758,6729,2,-11,1,-11.0
2,0,1000,10000,6879,6950,2,-7,1,-7.0
2,0,1000,10000,2573,5316,2,-15,1,-15.0
2,0,1000,10000,2043,7109,2,-31,1,-31.0
2,0,1000,10000,1112,4623,2,-35,1,-35.0
2,0,1000,10000,3124,6481,2,-3,1,-3.0
2,0,1000,10000,2919,9855,2,-3,1,-3.0
2,0,1000,10000,3933,3997,2,-11,1,-11.0
2,0,1000,10000,1494,6507,2,-23,1,-23.0
2,0,1000,10000,5358,5443,2,-11,1,-11.0
2,0,1000,10000,2225,4311,2,-7,1,-7.0
2,0,1000,10000,2708,5793,2,-35,1,-35.0
2,0,1000,10000,1041,7044,2,-1,1,-1.0
2,0,1000,10000,4588,5943,2,-7,1,-7.0
2,0,1000,10000,6024,8029,2,-3,1,-3.0
2,0,1000,10000,1601,5816,2,-11,1,-11.0
2,0,1000,10000,1979,8654,2,-9,1,-9.0
2,0,1000,10000,2836,5398,2,-15,1,-15.0
2,0,1000,10000,6003,9374,2,-29,1,-29.0
2,0,1000,10000,7243,8556,2,-7,1,-7.0
2,0,1000,10000,2703,7182,2,-15,1,-15.0
2,0,1000,10000,5780,6459,2,-3,1,-3.0
2,0,1000,10000,2210,2659,2,-11,1,-11.0
2,0,1000,10000,2311,9239,2,-5,1,-5.0
2,0,1000,10000,5576,9936,2,-31,1,-31.0
2,0,1000,10000,5843,6044,2,-63,1,-63.0
2,0,1000,10000,3693,3945,2,-19,1,-19.0
2,0,1000,10000,5280,5967,2,-1,1,-1.0
2,0,1000,10000,2043,8914,2,-7,1,-7.0
2,0,1000,10000,2169,5389,2,-3,1,-3.0
2,0,1000,10000,8150,9389,2,-15,1,-15.0
2,0,1000,10000,2857,9510,2,-31,1,-31.0
2,0,1000,10000,7961,9067,2,-11,1,-11.0
2,0,1000,10000,1500,7488,2,-5,1,-5.0
2,0,1000,10000,3299,3316,2,-11,1,-11.0
2,0,1000,10000,1345,1844,2,-3,1,-3.0
2,0,1000,10000,5179,5976,2,-7,1,-7.0
2,0,1000,10000,3710,3978,2,-15,1,-15.0
2,0,1000,10000,1132,1233,2,-15,1,-15.0
2,0,1000,10000,1465,7028,2,-15,1,-15.0
2,0,1000,10000,8011,9399,2,-3,1,-3.0
2,0,1000,10000,5505,5537,2,-7,1,-7.0
2,0,1000,10000,4500,9354,2,-3,1,-3.0
2,0,1000,10000,3504,6378,2,-23,1,-23.0
2,0,1000,10000,6152,6196,2,-5,1,-5.0
2,0,1000,10000,2114,6769,2,-3,1,-3.0
2,0,1000,10000,3695,6254,2,-15,1,-15.0
2,0,1000,10000,3475,8023,2,-3,1,-3.0
2,0,1000,10000,1106,4113,2,-47,1,-47.0
2,0,1000,10000,4618,6007,2,-7,1,-7.0
2,0,1000,10000,6264,8240,2,-5,1,-5.0
2,0,1000,10000,1260,8392,2,-7,1,-7.0
2,0,1000,10000,3775,8600,2,-23,1,-23.0
2,0,1000,10000,8835,9400,2,-3,1,-3.0
2,0,1000,10000,3617,9155,2,-11,1,-11.0
2,0,1000,10000,5073,8690,2,-11,1,-11.0
2,0,1000,10000,8095,9276,2,-3,1,-3.0
