n,m,Q_rational,Lambda_value,sign
2,2,1,+0.6931471806,+
2,4,1/2,+0.6931471806,+
2,6,1,+1.7917594692,+
2,8,1/3,+0.6931471806,+
2,10,1,+2.3025850930,+
2,12,0,+0.0000000000,0
2,14,1,+2.6390573296,+
2,16,1/4,+0.6931471806,+
2,18,1,+2.8903717579,+
2,20,0,+0.0000000000,0
2,22,1,+3.0910424534,+
2,24,0,+0.0000000000,0
2,26,1,+3.2580965380,+
2,28,0,+0.0000000000,0
2,30,1,+3.4011973817,+
2,32,1/5,+0.6931471806,+
2,34,1,+3.5263605246,+
2,36,-1/2,-1.7917594692,-
2,38,1,+3.6375861597,+
2,40,0,+0.0000000000,0
2,42,1,+3.7376696183,+
2,44,0,+0.0000000000,0
2,46,1,+3.8286413965,+
2,48,0,+0.0000000000,0
2,50,1,+3.9120230054,+
2,52,0,+0.0000000000,0
2,54,1,+3.9889840466,+
2,56,0,+0.0000000000,0
2,58,1,+4.0604430105,+
2,60,-1,-4.0943445622,-
2,62,1,+4.1271343850,+
2,64,1/6,+0.6931471806,+
2,66,1,+4.1896547420,+
2,68,0,+0.0000000000,0
2,70,1,+4.2484952420,+
2,72,0,+0.0000000000,0
2,74,1,+4.3040650932,+
2,76,0,+0.0000000000,0
2,78,1,+4.3567088267,+
2,80,0,+0.0000000000,0
2,82,1,+4.4067192473,+
2,84,-1,-4.4308167988,-
2,86,1,+4.4543472963,+
2,88,0,+0.0000000000,0
2,90,1,+4.4998096703,+
2,92,0,+0.0000000000,0
2,94,1,+4.5432947823,+
2,96,0,+0.0000000000,0
2,98,1,+4.5849674787,+
2,100,-1/2,-2.3025850930,-
2,102,1,+4.6249728133,+
2,104,0,+0.0000000000,0
2,106,1,+4.6634390941,+
2,108,-1,-4.6821312271,-
2,110,1,+4.7004803658,+
2,112,0,+0.0000000000,0
2,114,1,+4.7361984484,+
2,116,0,+0.0000000000,0
2,118,1,+4.7706846245,+
2,120,0,+0.0000000000,0
2,122,1,+4.8040210447,+
2,124,0,+0.0000000000,0
2,126,1,+4.8362819070,+
2,128,1/7,+0.6931471806,+
2,130,1,+4.8675344505,+
2,132,-1,-4.8828019226,-
2,134,1,+4.8978398000,+
2,136,0,+0.0000000000,0
2,138,1,+4.9272536852,+
2,140,-1,-4.9416424226,-
2,142,1,+4.9558270576,+
2,144,0,+0.0000000000,0
2,146,1,+4.9836066217,+
2,148,0,+0.0000000000,0
2,150,1,+5.0106352941,+
2,152,0,+0.0000000000,0
2,154,1,+5.0369526024,+
2,156,-1,-5.0498560072,-
2,158,1,+5.0625950330,+
2,160,0,+0.0000000000,0
2,162,1,+5.0875963352,+
2,164,0,+0.0000000000,0
2,166,1,+5.1119877884,+
2,168,0,+0.0000000000,0
2,170,1,+5.1357984371,+
2,172,0,+0.0000000000,0
2,174,1,+5.1590552992,+
2,176,0,+0.0000000000,0
2,178,1,+5.1817835503,+
2,180,-2,-10.3859137018,-
2,182,1,+5.2040066871,+
2,184,0,+0.0000000000,0
2,186,1,+5.2257466737,+
2,188,0,+0.0000000000,0
2,190,1,+5.2470240722,+
2,192,0,+0.0000000000,0
2,194,1,+5.2678581591,+
2,196,-1/2,-2.6390573296,-
2,198,1,+5.2882670307,+
2,200,0,+0.0000000000,0
2,202,1,+5.3082676974,+
2,204,-1,-5.3181199938,-
2,206,1,+5.3278761688,+
2,208,0,+0.0000000000,0
2,210,1,+5.3471075307,+
2,212,0,+0.0000000000,0
2,214,1,+5.3659760150,+
2,216,1/3,+1.7917594692,+
2,218,1,+5.3844950628,+
2,220,-1,-5.3936275464,-
2,222,1,+5.4026773819,+
2,224,0,+0.0000000000,0
2,226,1,+5.4205349993,+
2,228,-1,-5.4293456290,-
2,230,1,+5.4380793089,+
2,232,0,+0.0000000000,0
2,234,1,+5.4553211154,+
2,236,0,+0.0000000000,0
2,238,1,+5.4722706737,+
2,240,0,+0.0000000000,0
2,242,1,+5.4889377262,+
2,244,0,+0.0000000000,0
2,246,1,+5.5053315359,+
2,248,0,+0.0000000000,0
2,250,1,+5.5214609179,+
2,252,-2,-11.0588581750,-
2,254,1,+5.5373342670,+
2,256,1/8,+0.6931471806,+
2,258,1,+5.5529595849,+
2,260,-1,-5.5606816310,-
2,262,1,+5.5683445038,+
2,264,0,+0.0000000000,0
2,266,1,+5.5834963088,+
2,268,0,+0.0000000000,0
2,270,1,+5.5984219590,+
2,272,0,+0.0000000000,0
2,274,1,+5.6131281064,+
2,276,-1,-5.6204008657,-
2,278,1,+5.6276211137,+
2,280,0,+0.0000000000,0
2,282,1,+5.6419070709,+
2,284,0,+0.0000000000,0
2,286,1,+5.6559918108,+
2,288,0,+0.0000000000,0
2,290,1,+5.6698809230,+
2,292,0,+0.0000000000,0
2,294,1,+5.6835797673,+
2,296,0,+0.0000000000,0
2,298,1,+5.6970934865,+
2,300,-2,-11.4075649493,-
2,302,1,+5.7104270174,+
2,304,0,+0.0000000000,0
2,306,1,+5.7235851020,+
2,308,-1,-5.7300997830,-
2,310,1,+5.7365722975,+
2,312,0,+0.0000000000,0
2,314,1,+5.7493929859,+
2,316,0,+0.0000000000,0
2,318,1,+5.7620513828,+
2,320,0,+0.0000000000,0
2,322,1,+5.7745515455,+
2,324,-3/2,-8.6711152737,-
2,326,1,+5.7868973814,+
2,328,0,+0.0000000000,0
2,330,1,+5.7990926545,+
2,332,0,+0.0000000000,0
2,334,1,+5.8111409930,+
2,336,0,+0.0000000000,0
2,338,1,+5.8230458955,+
2,340,-1,-5.8289456176,-
2,342,1,+5.8348107371,+
2,344,0,+0.0000000000,0
2,346,1,+5.8464387751,+
2,348,-1,-5.8522024798,-
2,350,1,+5.8579331545,+
2,352,0,+0.0000000000,0
2,354,1,+5.8692969131,+
2,356,0,+0.0000000000,0
2,358,1,+5.8805329864,+
2,360,1,+5.8861040315,+
2,362,1,+5.8916442118,+
2,364,-1,-5.8971538676,-
2,366,1,+5.9026333334,+
2,368,0,+0.0000000000,0
2,370,1,+5.9135030056,+
2,372,-1,-5.9188938543,-
2,374,1,+5.9242557974,+
2,376,0,+0.0000000000,0
2,378,1,+5.9348941956,+
2,380,-1,-5.9401712527,-
2,382,1,+5.9454206086,+
2,384,0,+0.0000000000,0
2,386,1,+5.9558373695,+
2,388,0,+0.0000000000,0
2,390,1,+5.9661467391,+
2,392,0,+0.0000000000,0
2,394,1,+5.9763509093,+
2,396,-2,-11.9628284225,-
2,398,1,+5.9864520053,+
2,400,0,+0.0000000000,0
2,402,1,+5.9964520886,+
2,404,0,+0.0000000000,0
2,406,1,+6.0063531596,+
2,408,0,+0.0000000000,0
2,410,1,+6.0161571597,+
2,412,0,+0.0000000000,0
2,414,1,+6.0258659738,+
2,416,0,+0.0000000000,0
2,418,1,+6.0354814325,+
2,420,-3,-18.1207641338,-
2,422,1,+6.0450053140,+
2,424,0,+0.0000000000,0
2,426,1,+6.0544393463,+
2,428,0,+0.0000000000,0
2,430,1,+6.0637852087,+
2,432,0,+0.0000000000,0
2,434,1,+6.0730445341,+
2,436,0,+0.0000000000,0
2,438,1,+6.0822189104,+
2,440,0,+0.0000000000,0
2,442,1,+6.0913098821,+
2,444,-1,-6.0958245624,-
2,446,1,+6.1003189520,+
2,448,0,+0.0000000000,0
2,450,1,+6.1092475828,+
2,452,0,+0.0000000000,0
2,454,1,+6.1180971980,+
2,456,0,+0.0000000000,0
2,458,1,+6.1268691841,+
2,460,-1,-6.1312264895,-
2,462,1,+6.1355648911,+
2,464,0,+0.0000000000,0
2,466,1,+6.1441856341,+
2,468,-2,-12.2969365918,-
2,470,1,+6.1527326947,+
2,472,0,+0.0000000000,0
2,474,1,+6.1612073217,+
2,476,-1,-6.1654178542,-
2,478,1,+6.1696107325,+
2,480,0,+0.0000000000,0
2,482,1,+6.1779441141,+
